technology,year,production_mt,share,installed_capacity_mt,new_capacity_mt,retired_capacity_mt,effective_cost_usd_per_t,capex_contribution_usd_per_t,fom_contribution_usd_per_t,vom_contribution_usd_per_t,fuel_contribution_usd_per_t,resource_contribution_usd_per_t,electricity_contribution_usd_per_t,carbon_contribution_usd_per_t,deployment_constraint_binding,scrap_constraint_binding,resource_pressure,emission_pressure,learning_effect,data_completeness,provenance
BF-BOF,2062,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2063,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2064,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2065,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2066,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2067,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2068,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2069,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
BF-BOF,2070,0.0,0.0,-0.0,0.0,0.0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,False,False,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
Coal-DRI-EAF,2024,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,ROUTE_DISABLED_EXTERNAL_PENDING;SCRAP_INTENSITY_EXTERNAL_PENDING;CAPEX_EXTERNAL_PENDING;FOM_EXTERNAL_PENDING;EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
Coal-DRI-EAF,2025,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,ROUTE_DISABLED_EXTERNAL_PENDING;SCRAP_INTENSITY_EXTERNAL_PENDING;CAPEX_EXTERNAL_PENDING;FOM_EXTERNAL_PENDING;EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
Coal-DRI-EAF,2026,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,ROUTE_DISABLED_EXTERNAL_PENDING;SCRAP_INTENSITY_EXTERNAL_PENDING;CAPEX_EXTERNAL_PENDING;FOM_EXTERNAL_PENDING;EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
Coal-DRI-EAF,2027,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,ROUTE_DISABLED_EXTERNAL_PENDING;SCRAP_INTENSITY_EXTERNAL_PENDING;CAPEX_EXTERNAL_PENDING;FOM_EXTERNAL_PENDING;EXISTING_ROUTE_CAPACITY_UNAVAILABLE,BaselineInputs+BaselineMILPResult
